,index,tconst,ordering,nconst,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,primaryName,birthYear,deathYear,primaryProfession,directors,writers
36,32,tt0069049,2,nm0462648,actress,,"[""The Actress""]",movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Oja Kodar,1941.0,,"actress,writer,director",nm0000080,"nm0000080,nm0462648"
37,31,tt0069049,10,nm0613657,editor,,,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Bob Murawski,1964.0,,"editor,producer,editorial_department",nm0000080,"nm0000080,nm0462648"
38,30,tt0069049,1,nm0001379,actor,,"[""Jake Hannaford""]",movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,John Huston,1906.0,1987.0,"actor,director,writer",nm0000080,"nm0000080,nm0462648"
39,34,tt0069049,4,nm0001782,actress,,"[""Julie Rich""]",movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Susan Strasberg,1938.0,1999.0,actress,nm0000080,"nm0000080,nm0462648"
40,49,tt0088751,9,nm1848380,cinematographer,,,movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",Lazslo Wong Howe,,,cinematographer,"nm0078540,nm0628399",nm0628399
41,48,tt0088751,8,nm0006300,composer,,,movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",Ronald Stein,1930.0,1988.0,"composer,music_department,soundtrack","nm0078540,nm0628399",nm0628399
42,47,tt0088751,7,nm0006100,composer,,,movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",Albert Glasser,1916.0,1998.0,"composer,music_department,soundtrack","nm0078540,nm0628399",nm0628399
43,46,tt0088751,6,nm0628399,director,,,movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",Ted Newsom,1952.0,2020.0,"writer,actor,producer","nm0078540,nm0628399",nm0628399
44,45,tt0088751,5,nm0078540,director,,,movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",Wayne Berwick,,,"actor,writer,director","nm0078540,nm0628399",nm0628399
45,44,tt0088751,4,nm0329491,actor,,"[""Agent Jeff T. Stewart""]",movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",John Goodwin,,,"make_up_department,actor,miscellaneous","nm0078540,nm0628399",nm0628399
46,42,tt0088751,2,nm0828288,actress,,"[""Dr. Nikki Carlton""]",movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",Brinke Stevens,1954.0,,"actress,producer,writer","nm0078540,nm0628399",nm0628399
47,41,tt0088751,10,nm0937864,cinematographer,,,movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",Mark Wolf,,,"visual_effects,special_effects,director","nm0078540,nm0628399",nm0628399
48,40,tt0088751,1,nm0864851,actor,,"[""Col. Patrick Hendry""]",movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",Kenneth Tobey,1917.0,2002.0,actor,"nm0078540,nm0628399",nm0628399
49,43,tt0088751,3,nm0933983,actor,,"[""Sheriff Lance Boiler""]",movie,The Naked Monster,The Naked Monster,0,2005,,100,"Comedy,Horror,Sci-Fi",R.G. Wilson,,,"actor,cinematographer,special_effects","nm0078540,nm0628399",nm0628399
50,56,tt0093119,6,nm0564651,writer,story and screenplay,,movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",Joan McCall,1943.0,,"writer,producer,actress",nm0007013,"nm0564651,nm0791007"
51,59,tt0093119,9,nm6232379,composer,,,movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",Christian S. Andersson,,,composer,nm0007013,"nm0564651,nm0791007"
52,58,tt0093119,8,nm2335450,producer,executive producer,,movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",Suzanne C. Nagy,,,"producer,director,editor",nm0007013,"nm0564651,nm0791007"
53,57,tt0093119,7,nm0791007,writer,story and screenplay,,movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",David Sheldon,,,"miscellaneous,producer,writer",nm0007013,"nm0564651,nm0791007"
54,55,tt0093119,5,nm0007013,director,,,movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",André Szöts,1937.0,2006.0,"producer,director,actor",nm0007013,"nm0564651,nm0791007"
55,54,tt0093119,4,nm0001221,actress,,"[""Eileene Draygon""]",movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",Louise Fletcher,1934.0,,actress,nm0007013,"nm0564651,nm0791007"
56,53,tt0093119,3,nm0000221,actor,,"[""Lance""]",movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",Charlie Sheen,1965.0,,"actor,producer,soundtrack",nm0007013,"nm0564651,nm0791007"
57,52,tt0093119,2,nm0000368,actress,,"[""Tina""]",movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",Laura Dern,1967.0,,"actress,producer,writer",nm0007013,"nm0564651,nm0791007"
58,51,tt0093119,10,nm12021619,composer,,,movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",Epikton,,,composer,nm0007013,"nm0564651,nm0791007"
59,50,tt0093119,1,nm0000123,actor,,"[""Ron""]",movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,,74,"Horror,Music,Thriller",George Clooney,1961.0,,"actor,producer,director",nm0007013,"nm0564651,nm0791007"
60,69,tt0096056,9,nm0003138,cinematographer,,,movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Nicholas Josef von Sternberg,1951.0,,"cinematographer,camera_department",nm0324875,"nm0234502,nm0324875"
61,68,tt0096056,8,nm0706534,composer,,,movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Robert O. Ragland,1931.0,2012.0,"composer,music_department,soundtrack",nm0324875,"nm0234502,nm0324875"
62,67,tt0096056,7,nm1017958,producer,executive producer,,movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Evgeny Afineevsky,1972.0,,"producer,director,cinematographer",nm0324875,"nm0234502,nm0324875"
63,66,tt0096056,6,nm0234502,writer,"novel ""Crime and Punishment""",,movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Fyodor Dostoevsky,1821.0,1881.0,"writer,soundtrack",nm0324875,"nm0234502,nm0324875"
64,65,tt0096056,5,nm0324875,director,,,movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Menahem Golan,1929.0,2014.0,"producer,writer,director",nm0324875,"nm0234502,nm0324875"
65,63,tt0096056,3,nm0000457,actor,,"[""Porfiry - Chief Investigator""]",movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,John Hurt,1940.0,2017.0,"actor,soundtrack",nm0324875,"nm0234502,nm0324875"
66,62,tt0096056,2,nm0000603,actress,,"[""Rodion's Mother""]",movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Vanessa Redgrave,1937.0,,"actress,soundtrack,producer",nm0324875,"nm0234502,nm0324875"
67,61,tt0096056,10,nm0015834,editor,,,movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Carolle Alain,,,"editorial_department,editor,director",nm0324875,"nm0234502,nm0324875"
68,60,tt0096056,1,nm0000417,actor,,"[""Rodion Raskolnikov""]",movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Crispin Glover,1964.0,,"actor,soundtrack,producer",nm0324875,"nm0234502,nm0324875"
69,64,tt0096056,4,nm0452288,actress,,"[""Mrs. Katerina Marmelodov""]",movie,Crime and Punishment,Crime and Punishment,0,2002,,126,Drama,Margot Kidder,1948.0,2018.0,"actress,producer,soundtrack",nm0324875,"nm0234502,nm0324875"
70,76,tt0100275,6,nm0765384,director,completion director,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Valeria Sarmiento,1948.0,,"editor,director,writer","nm0765384,nm0749914","nm1360635,nm0749914"
71,79,tt0100275,9,nm1856792,producer,producer,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Andrés Racz,1948.0,2011.0,"producer,director,writer","nm0765384,nm0749914","nm1360635,nm0749914"
72,78,tt0100275,8,nm0462571,producer,producer,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Leo Kocking,1951.0,,"cinematographer,director,producer","nm0765384,nm0749914","nm1360635,nm0749914"
73,77,tt0100275,7,nm1360635,writer,,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Pía Rey,,,"set_decorator,art_director,art_department","nm0765384,nm0749914","nm1360635,nm0749914"
74,75,tt0100275,5,nm0749914,director,original director,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Raúl Ruiz,1941.0,2011.0,"director,writer,producer","nm0765384,nm0749914","nm1360635,nm0749914"
75,70,tt0100275,1,nm0016013,actor,,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Luis Alarcón,1929.0,,"actor,special_effects","nm0765384,nm0749914","nm1360635,nm0749914"
76,73,tt0100275,3,nm0721280,actor,,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Francisco Reyes,1954.0,,"actor,soundtrack","nm0765384,nm0749914","nm1360635,nm0749914"
77,72,tt0100275,2,nm0728971,actress,,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Patricia Rivadeneira,1964.0,,actress,"nm0765384,nm0749914","nm1360635,nm0749914"
78,71,tt0100275,10,nm0005948,composer,,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Jorge Arriagada,1943.0,,"composer,soundtrack,music_department","nm0765384,nm0749914","nm1360635,nm0749914"
79,74,tt0100275,4,nm1415193,actress,,,movie,The Wandering Soap Opera,La telenovela errante,0,2017,,80,"Comedy,Drama,Fantasy",Consuelo Castillo,,,actress,"nm0765384,nm0749914","nm1360635,nm0749914"
80,86,tt0108549,6,nm1130611,director,,,movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Valerie Silver,,,"director,actress,writer","nm1130611,nm1131265",nm1130611
81,89,tt0108549,9,nm0828024,producer,producer,,movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Robert W. Sterrett III,,,"location_management,producer,camera_department","nm1130611,nm1131265",nm1130611
82,88,tt0108549,8,nm2382648,producer,producer,,movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Adrian Brunori,,,"producer,miscellaneous","nm1130611,nm1131265",nm1130611
83,87,tt0108549,7,nm0111876,producer,producer,,movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Beverly Brooks,,,"miscellaneous,editorial_department,producer","nm1130611,nm1131265",nm1130611
84,85,tt0108549,5,nm1131265,director,,,movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Steve Ashlee,,,"cinematographer,camera_department,director","nm1130611,nm1131265",nm1130611
85,82,tt0108549,2,nm1036304,actress,,"[""Camille Wallace""]",movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Amelia Barrett,,,"actress,miscellaneous","nm1130611,nm1131265",nm1130611
86,83,tt0108549,3,nm0206528,actor,,"[""Elvis Potter""]",movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Morris Day,1957.0,,"actor,soundtrack,composer","nm1130611,nm1131265",nm1130611
87,81,tt0108549,10,nm0168948,composer,,,movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Barry Coffing,,,"soundtrack,music_department,composer","nm1130611,nm1131265",nm1130611
88,80,tt0108549,1,nm0860707,actor,,"[""West Jackson""]",movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Shawn David Thompson,1967.0,,"editor,actor,writer","nm1130611,nm1131265",nm1130611
89,84,tt0108549,4,nm0226887,actress,,"[""The Cashier""]",movie,West from North Goes South,West from North Goes South,0,2004,,96,"Comedy,Mystery",Phyllis Diller,1917.0,2012.0,"actress,soundtrack,make_up_department","nm1130611,nm1131265",nm1130611
90,90,tt0113506,1,nm0321320,self,,"[""Self""]",movie,Justifiable Homicide,Justifiable Homicide,0,2002,,85,Documentary,Rudy Giuliani,1944.0,,"actor,soundtrack",nm1297149,
91,91,tt0113506,2,nm1297149,director,,,movie,Justifiable Homicide,Justifiable Homicide,0,2002,,85,Documentary,Jon Osman,,,"producer,director,writer",nm1297149,
92,92,tt0113506,3,nm0821033,producer,producer,,movie,Justifiable Homicide,Justifiable Homicide,0,2002,,85,Documentary,Jonathan Stack,1957.0,,"producer,director,writer",nm1297149,
93,93,tt0113506,4,nm0002996,composer,,,movie,Justifiable Homicide,Justifiable Homicide,0,2002,,85,Documentary,Shawn K. Clement,1968.0,,"composer,music_department,soundtrack",nm1297149,
94,103,tt0114447,9,nm0006506,cinematographer,co-cinematographer,,movie,The Silent Force,The Silent Force,0,2001,,90,Action,Steve Adcock,1961.0,,"camera_department,cinematographer,actor",nm0561917,nm0561917
95,102,tt0114447,8,nm0074762,composer,,,movie,The Silent Force,The Silent Force,0,2001,,90,Action,Efrem Bergman,,,"composer,soundtrack,music_department",nm0561917,nm0561917
96,101,tt0114447,7,nm0802035,producer,producer,,movie,The Silent Force,The Silent Force,0,2001,,90,Action,Ron Singer,,,"producer,production_manager,actor",nm0561917,nm0561917
97,100,tt0114447,6,nm1802961,producer,producer,,movie,The Silent Force,The Silent Force,0,2001,,90,Action,Cynthia Ahearn,,,producer,nm0561917,nm0561917
98,99,tt0114447,5,nm0561917,director,,,movie,The Silent Force,The Silent Force,0,2001,,90,Action,David H. May,,,"director,writer,assistant_director",nm0561917,nm0561917
99,97,tt0114447,3,nm0453564,actress,,"[""Natalie Woo""]",movie,The Silent Force,The Silent Force,0,2001,,90,Action,Karen Kim,1968.0,2012.0,actress,nm0561917,nm0561917
100,96,tt0114447,2,nm0865058,actor,,"[""Kim Pao""]",movie,The Silent Force,The Silent Force,0,2001,,90,Action,Brian Tochi,1959.0,,"actor,producer,director",nm0561917,nm0561917
101,95,tt0114447,10,nm0698235,cinematographer,,,movie,The Silent Force,The Silent Force,0,2001,,90,Action,Christopher Probst,,,"cinematographer,camera_department,writer",nm0561917,nm0561917
102,94,tt0114447,1,nm0002290,actor,,"[""Frank Stevens""]",movie,The Silent Force,The Silent Force,0,2001,,90,Action,Loren Avedon,1962.0,,"actor,stunts,producer",nm0561917,nm0561917
103,98,tt0114447,4,nm0156475,actor,,"[""Hue Gung Pao""]",movie,The Silent Force,The Silent Force,0,2001,,90,Action,George Cheung,1949.0,,"actor,stunts,miscellaneous",nm0561917,nm0561917
104,110,tt0116991,6,nm0361069,writer,novel,,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Ron Hansen,,,"writer,producer",nm0007037,nm0361069
105,113,tt0116991,9,nm0765477,cinematographer,,,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Paul Sarossy,1963.0,,"cinematographer,camera_department,director",nm0007037,nm0361069
106,112,tt0116991,8,nm0458356,composer,,,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Christopher Klatman,,,"music_department,composer,soundtrack",nm0007037,nm0361069
107,111,tt0116991,7,nm0696895,producer,producer,,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Frank Price,1930.0,,"producer,writer,actor",nm0007037,nm0361069
108,109,tt0116991,5,nm0007037,director,,,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,John Bailey,1942.0,,"cinematographer,camera_department,director",nm0007037,nm0361069
109,105,tt0116991,10,nm0278368,editor,,,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Greg Finton,,,"editor,editorial_department,director",nm0007037,nm0361069
110,107,tt0116991,3,nm0032185,actress,,"[""Sister Philomene""]",movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Alex Appel,,,"actress,producer,director",nm0007037,nm0361069
111,104,tt0116991,1,nm0642374,actress,,"[""Mariette Baptiste""]",movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Geraldine O'Rawe,1971.0,,actress,nm0007037,nm0361069
112,108,tt0116991,4,nm0064229,actress,,"[""Sister""]",movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Nancy Beatty,,,actress,nm0007037,nm0361069
113,106,tt0116991,2,nm0001693,actress,,"[""Mother Saint-Raphael""]",movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,,101,Drama,Eva Marie Saint,1924.0,,"actress,producer,soundtrack",nm0007037,nm0361069
114,122,tt0117743,8,nm0172516,cinematographer,,,movie,Still Waters Burn,Still Waters Burn,0,2008,,83,"Drama,Romance",Marty Collins,,,"cinematographer,director,camera_department",nm0404033,"nm0404033,nm0568495"
115,121,tt0117743,7,nm0694190,producer,producer,,movie,Still Waters Burn,Still Waters Burn,0,2008,,83,"Drama,Romance",Kathleen Powell,,,"producer,actress",nm0404033,"nm0404033,nm0568495"
116,120,tt0117743,6,nm0568495,writer,writer,,movie,Still Waters Burn,Still Waters Burn,0,2008,,83,"Drama,Romance",Tom McEnery,,,"writer,producer",nm0404033,"nm0404033,nm0568495"
117,119,tt0117743,5,nm0404033,director,,,movie,Still Waters Burn,Still Waters Burn,0,2008,,83,"Drama,Romance",Halfdan Hussey,,,"producer,director,writer",nm0404033,"nm0404033,nm0568495"
118,123,tt0117743,9,nm0737086,editor,,,movie,Still Waters Burn,Still Waters Burn,0,2008,,83,"Drama,Romance",Michael Rogers,,,"editor,editorial_department,director",nm0404033,"nm0404033,nm0568495"
119,117,tt0117743,3,nm0115304,actress,,"[""Woman with Fur Coat""]",movie,Still Waters Burn,Still Waters Burn,0,2008,,83,"Drama,Romance",Lina Broydo,,,actress,nm0404033,"nm0404033,nm0568495"
120,116,tt0117743,2,nm0920148,actress,,"[""Laura Harper""]",movie,Still Waters Burn,Still Waters Burn,0,2008,,83,"Drama,Romance",Claudia Wells,1966.0,,"actress,miscellaneous",nm0404033,"nm0404033,nm0568495"
121,115,tt0117743,10,nm0786802,production_designer,,,movie,Still Waters Burn,Still Waters Burn,0,2008,,83,"Drama,Romance",Barbara Jean Seymour,,,production_designer,nm0404033,"nm0404033,nm0568495"
